antecedents,consequents,support,confidence,lift
{np.str_('Pasta')},{np.str_('Ketchup')},0.211,0.27,1.22
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Ketchup')},0.054,0.27,1.12
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Soup')},0.104,0.82,1.42
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Sandwich')},0.215,0.87,1.38
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Ketchup')},0.269,0.78,1.08
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('IceCream')},0.19,0.55,1.24
{np.str_('Fries')},{np.str_('Pizza')},0.215,0.41,0.96
{np.str_('Soup')},{np.str_('Ketchup')},0.299,0.88,1.25
{np.str_('Fries')},{np.str_('Pizza')},0.115,0.79,0.88
{np.str_('Coke')},{np.str_('Sandwich')},0.055,0.61,1.22
{np.str_('Soup')},{np.str_('Coke')},0.209,0.12,0.92
{np.str_('Burger')},{np.str_('Pizza')},0.176,0.32,1.44
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Fries')},0.186,0.8,1.42
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Sandwich')},0.27,0.6,1.48
"{np.str_('Pizza'), np.str_('Fries')}",{np.str_('Coke')},0.282,0.17,1.07
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Salad')},0.292,0.71,1.48
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Ketchup')},0.113,0.64,0.84
{np.str_('Ketchup')},{np.str_('Salad')},0.149,0.72,1.01
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Soup')},0.116,0.25,1.04
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Coke')},0.015,0.52,1.13
{np.str_('Soup')},{np.str_('Sandwich')},0.213,0.43,1.16
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('IceCream')},0.127,0.88,1.45
{np.str_('Fries')},{np.str_('Sandwich')},0.249,0.33,1.45
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Pizza')},0.108,0.68,1.2
{np.str_('Soup')},{np.str_('Salad')},0.228,0.6,1.22
{np.str_('Fries')},{np.str_('Burger')},0.095,0.29,1.46
{np.str_('Sandwich')},{np.str_('Soup')},0.214,0.59,1.33
{np.str_('Salad')},{np.str_('Ketchup')},0.023,0.62,0.96
{np.str_('Salad')},{np.str_('Coke')},0.279,0.9,1.36
{np.str_('Pizza')},{np.str_('Soup')},0.065,0.84,1.29
{np.str_('Salad')},{np.str_('Ketchup')},0.174,0.84,1.07
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Ketchup')},0.095,0.37,1.01
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Fries')},0.19,0.58,1.15
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Burger')},0.215,0.6,1.49
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Soup')},0.167,0.89,1.46
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Salad')},0.14,0.5,0.97
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('Fries')},0.283,0.73,1.12
{np.str_('Burger')},{np.str_('Pasta')},0.097,0.19,1.11
"{np.str_('IceCream'), np.str_('Soup')}",{np.str_('Ketchup')},0.164,0.33,1.14
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('IceCream')},0.073,0.11,1.21
{np.str_('IceCream')},{np.str_('Burger')},0.034,0.3,1.35
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Soup')},0.237,0.66,1.23
{np.str_('Pizza')},{np.str_('Pasta')},0.291,0.44,1.04
{np.str_('Fries')},{np.str_('Soup')},0.178,0.39,1.38
{np.str_('Coke')},{np.str_('Burger')},0.252,0.39,1.44
{np.str_('Coke')},{np.str_('Pizza')},0.015,0.64,0.85
{np.str_('Burger')},{np.str_('Pizza')},0.292,0.55,1.3
{np.str_('Fries')},{np.str_('Coke')},0.077,0.65,1.46
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Soup')},0.228,0.53,1.18
{np.str_('Ketchup')},{np.str_('Fries')},0.172,0.29,1.15
{np.str_('Salad')},{np.str_('Soup')},0.093,0.17,1.02
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('IceCream')},0.252,0.53,1.39
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Fries')},0.176,0.36,0.83
{np.str_('Fries')},{np.str_('Sandwich')},0.248,0.45,0.89
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Burger')},0.067,0.15,1.42
{np.str_('Ketchup')},{np.str_('Soup')},0.21,0.37,1.36
{np.str_('Salad')},{np.str_('Ketchup')},0.285,0.34,0.99
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Fries')},0.259,0.68,1.46
{np.str_('Ketchup')},{np.str_('IceCream')},0.272,0.4,1.18
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Pasta')},0.262,0.17,0.95
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('IceCream')},0.164,0.23,1.2
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Fries')},0.128,0.64,0.84
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Ketchup')},0.1,0.2,0.88
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Sandwich')},0.055,0.69,1.05
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Pizza')},0.059,0.38,1.33
{np.str_('Burger')},{np.str_('IceCream')},0.174,0.78,0.94
{np.str_('Salad')},{np.str_('Fries')},0.084,0.48,1.14
"{np.str_('IceCream'), np.str_('Soup')}",{np.str_('Pizza')},0.294,0.64,1.39
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Coke')},0.09,0.71,0.96
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Soup')},0.072,0.2,1.29
{np.str_('Pizza')},{np.str_('Soup')},0.191,0.75,1.39
{np.str_('Salad')},{np.str_('Fries')},0.025,0.81,1.2
{np.str_('Burger')},{np.str_('Sandwich')},0.052,0.67,1.01
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Coke')},0.084,0.71,0.86
{np.str_('Fries')},{np.str_('Pasta')},0.171,0.37,0.89
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Salad')},0.197,0.33,1.01
{np.str_('Salad')},{np.str_('Pasta')},0.246,0.82,1.38
{np.str_('Pizza')},{np.str_('Soup')},0.123,0.48,0.9
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Sandwich')},0.145,0.36,1.13
{np.str_('IceCream')},{np.str_('Pizza')},0.224,0.63,0.88
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Coke')},0.064,0.12,1.0
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Pasta')},0.18,0.53,0.86
{np.str_('Ketchup')},{np.str_('Sandwich')},0.162,0.32,1.08
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Salad')},0.269,0.16,1.44
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Sandwich')},0.102,0.15,1.34
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Pasta')},0.099,0.4,1.19
{np.str_('Soup')},{np.str_('Pizza')},0.032,0.23,0.84
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Sandwich')},0.266,0.43,1.07
{np.str_('Soup')},{np.str_('Burger')},0.287,0.22,1.13
{np.str_('Pasta')},{np.str_('Fries')},0.021,0.6,1.29
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Pizza')},0.096,0.52,1.27
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Pasta')},0.183,0.16,1.46
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Pizza')},0.099,0.26,1.27
{np.str_('Pizza')},{np.str_('Salad')},0.133,0.9,0.81
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Salad')},0.014,0.28,1.2
{np.str_('Pasta')},{np.str_('Fries')},0.121,0.27,1.11
{np.str_('Pasta')},{np.str_('Salad')},0.073,0.85,1.13
{np.str_('Fries')},{np.str_('Burger')},0.176,0.25,0.84
{np.str_('Coke')},{np.str_('Pasta')},0.138,0.23,0.93
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Soup')},0.088,0.26,1.13
{np.str_('Salad')},{np.str_('Ketchup')},0.024,0.18,0.83
{np.str_('Sandwich')},{np.str_('IceCream')},0.096,0.16,0.92
{np.str_('Pasta')},{np.str_('Fries')},0.205,0.24,0.84
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Fries')},0.022,0.87,1.18
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Fries')},0.169,0.48,1.45
{np.str_('Coke')},{np.str_('Sandwich')},0.222,0.49,1.24
{np.str_('Burger')},{np.str_('Fries')},0.251,0.74,1.41
{np.str_('Burger')},{np.str_('Sandwich')},0.027,0.61,1.34
{np.str_('Soup')},{np.str_('IceCream')},0.07,0.38,1.27
{np.str_('IceCream')},{np.str_('Fries')},0.03,0.76,0.98
{np.str_('Soup')},{np.str_('Ketchup')},0.223,0.59,1.14
{np.str_('Pizza')},{np.str_('Soup')},0.103,0.43,1.44
{np.str_('Pasta')},{np.str_('Ketchup')},0.147,0.17,1.24
{np.str_('Fries')},{np.str_('Burger')},0.26,0.56,1.42
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Coke')},0.058,0.24,1.35
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Fries')},0.034,0.17,0.92
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Coke')},0.198,0.64,1.36
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('IceCream')},0.207,0.85,1.5
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Pizza')},0.272,0.12,0.95
{np.str_('IceCream')},{np.str_('Sandwich')},0.034,0.41,1.06
{np.str_('Pasta')},{np.str_('Fries')},0.29,0.44,1.24
{np.str_('Coke')},{np.str_('Sandwich')},0.128,0.32,0.94
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Pasta')},0.063,0.87,1.06
{np.str_('Soup')},{np.str_('Coke')},0.151,0.54,1.45
{np.str_('Pasta')},{np.str_('Soup')},0.026,0.64,0.96
{np.str_('Burger')},{np.str_('Salad')},0.208,0.29,1.46
{np.str_('Fries')},{np.str_('IceCream')},0.207,0.3,1.41
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Coke')},0.206,0.61,1.08
{np.str_('Sandwich')},{np.str_('Coke')},0.146,0.66,1.45
{np.str_('Soup')},{np.str_('Salad')},0.111,0.79,0.96
{np.str_('Pasta')},{np.str_('Fries')},0.117,0.39,1.04
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Coke')},0.082,0.16,1.26
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('IceCream')},0.132,0.47,0.98
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Ketchup')},0.277,0.38,0.84
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Sandwich')},0.225,0.23,0.88
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Coke')},0.119,0.6,1.3
{np.str_('Burger')},{np.str_('IceCream')},0.021,0.41,1.36
{np.str_('Coke')},{np.str_('Pasta')},0.205,0.13,1.17
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Ketchup')},0.26,0.31,1.17
{np.str_('Burger')},{np.str_('IceCream')},0.099,0.29,0.96
{np.str_('Pasta')},{np.str_('Salad')},0.293,0.75,1.32
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('IceCream')},0.058,0.73,0.89
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Coke')},0.261,0.19,0.92
{np.str_('Burger')},{np.str_('Fries')},0.253,0.5,0.81
{np.str_('Pizza')},{np.str_('Pasta')},0.182,0.66,0.94
{np.str_('Pasta')},{np.str_('Salad')},0.24,0.28,0.93
{np.str_('Pasta')},{np.str_('Sandwich')},0.124,0.86,0.9
{np.str_('Coke')},{np.str_('Pizza')},0.066,0.22,1.46
{np.str_('Salad')},{np.str_('Coke')},0.194,0.38,0.9
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Pasta')},0.097,0.61,1.22
{np.str_('Ketchup')},{np.str_('Soup')},0.208,0.12,1.28
{np.str_('Coke')},{np.str_('Burger')},0.036,0.83,0.8
{np.str_('Salad')},{np.str_('Ketchup')},0.169,0.81,1.19
{np.str_('Sandwich')},{np.str_('Burger')},0.043,0.1,1.15
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('Pizza')},0.277,0.44,1.04
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Burger')},0.097,0.44,1.02
{np.str_('IceCream')},{np.str_('Coke')},0.243,0.78,1.08
{np.str_('Soup')},{np.str_('Sandwich')},0.151,0.12,1.07
{np.str_('Salad')},{np.str_('Burger')},0.215,0.3,1.11
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Pasta')},0.122,0.21,1.32
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Pasta')},0.154,0.24,0.88
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Salad')},0.235,0.78,0.93
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Pasta')},0.071,0.13,1.03
{np.str_('Burger')},{np.str_('Pasta')},0.085,0.14,1.31
{np.str_('Salad')},{np.str_('Ketchup')},0.189,0.88,1.31
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Ketchup')},0.152,0.52,1.03
{np.str_('Pizza')},{np.str_('Sandwich')},0.227,0.74,0.9
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Pasta')},0.26,0.35,1.4
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Pasta')},0.188,0.29,1.14
{np.str_('Pizza')},{np.str_('Soup')},0.233,0.15,1.2
{np.str_('Pasta')},{np.str_('Burger')},0.255,0.31,1.1
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Soup')},0.041,0.39,0.87
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Burger')},0.093,0.6,1.12
{np.str_('Pasta')},{np.str_('Soup')},0.151,0.83,1.23
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Ketchup')},0.273,0.69,1.17
{np.str_('Burger')},{np.str_('Soup')},0.128,0.8,1.25
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Soup')},0.127,0.34,1.24
"{np.str_('IceCream'), np.str_('Soup')}",{np.str_('Sandwich')},0.105,0.47,0.9
{np.str_('Fries')},{np.str_('Soup')},0.013,0.41,1.01
{np.str_('Fries')},{np.str_('Pizza')},0.281,0.7,1.46
"{np.str_('Pizza'), np.str_('Fries')}",{np.str_('Ketchup')},0.069,0.74,1.32
{np.str_('Burger')},{np.str_('IceCream')},0.108,0.42,0.97
{np.str_('Coke')},{np.str_('Soup')},0.105,0.7,1.08
{np.str_('IceCream')},{np.str_('Pasta')},0.179,0.81,0.91
{np.str_('Fries')},{np.str_('Pizza')},0.281,0.2,1.36
{np.str_('Ketchup')},{np.str_('Coke')},0.282,0.34,1.13
{np.str_('Coke')},{np.str_('Pasta')},0.019,0.68,1.41
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Pizza')},0.253,0.62,1.23
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Salad')},0.032,0.4,1.37
{np.str_('Burger')},{np.str_('Coke')},0.161,0.2,1.47
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('IceCream')},0.13,0.85,1.12
{np.str_('Soup')},{np.str_('Burger')},0.296,0.3,1.16
{np.str_('Salad')},{np.str_('Coke')},0.141,0.32,1.47
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Salad')},0.026,0.56,0.86
{np.str_('Pizza')},{np.str_('Salad')},0.147,0.67,1.08
{np.str_('IceCream')},{np.str_('Sandwich')},0.175,0.59,1.46
{np.str_('IceCream')},{np.str_('Fries')},0.093,0.53,1.17
"{np.str_('Fries'), np.str_('Pizza')}",{np.str_('Salad')},0.168,0.66,1.16
{np.str_('IceCream')},{np.str_('Soup')},0.237,0.49,1.36
"{np.str_('IceCream'), np.str_('Soup')}",{np.str_('Pizza')},0.013,0.62,1.16
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Sandwich')},0.201,0.41,0.89
{np.str_('Ketchup')},{np.str_('Coke')},0.253,0.36,1.42
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('Pasta')},0.102,0.49,1.02
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.295,0.29,1.28
{np.str_('Soup')},{np.str_('Pizza')},0.071,0.77,0.82
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Ketchup')},0.15,0.28,0.98
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Pizza')},0.158,0.21,1.41
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Salad')},0.259,0.78,1.05
{np.str_('Soup')},{np.str_('Coke')},0.075,0.24,1.41
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('IceCream')},0.296,0.28,1.26
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Ketchup')},0.219,0.24,1.18
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Sandwich')},0.063,0.5,1.03
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Pizza')},0.19,0.34,1.43
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('IceCream')},0.083,0.76,0.86
{np.str_('Pasta')},{np.str_('Soup')},0.087,0.83,1.1
{np.str_('Soup')},{np.str_('Sandwich')},0.049,0.31,1.07
{np.str_('Salad')},{np.str_('Pizza')},0.137,0.47,1.35
{np.str_('Sandwich')},{np.str_('Salad')},0.293,0.15,1.38
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Ketchup')},0.022,0.39,1.38
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Fries')},0.09,0.42,1.45
{np.str_('Soup')},{np.str_('Salad')},0.099,0.15,1.04
{np.str_('Sandwich')},{np.str_('Salad')},0.155,0.56,0.9
{np.str_('IceCream')},{np.str_('Ketchup')},0.23,0.14,1.39
{np.str_('Pizza')},{np.str_('Ketchup')},0.065,0.25,0.84
{np.str_('Fries')},{np.str_('Soup')},0.183,0.32,0.82
{np.str_('Soup')},{np.str_('IceCream')},0.047,0.2,1.27
{np.str_('Salad')},{np.str_('Sandwich')},0.178,0.59,1.35
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Soup')},0.097,0.12,1.1
{np.str_('Burger')},{np.str_('Fries')},0.014,0.84,1.48
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Fries')},0.1,0.46,1.08
"{np.str_('Ketchup'), np.str_('Pasta')}",{np.str_('IceCream')},0.275,0.31,1.43
{np.str_('Pizza')},{np.str_('Burger')},0.146,0.16,1.37
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('IceCream')},0.197,0.26,0.87
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Pasta')},0.077,0.27,0.84
{np.str_('Pasta')},{np.str_('Burger')},0.057,0.65,1.27
{np.str_('Ketchup')},{np.str_('Soup')},0.236,0.83,1.07
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Fries')},0.283,0.86,0.97
{np.str_('Pizza')},{np.str_('Soup')},0.085,0.68,0.82
{np.str_('Salad')},{np.str_('Pizza')},0.128,0.58,0.88
{np.str_('Ketchup')},{np.str_('Sandwich')},0.032,0.43,1.28
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Sandwich')},0.29,0.23,1.01
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Pizza')},0.193,0.43,0.92
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('IceCream')},0.221,0.73,0.97
{np.str_('IceCream')},{np.str_('Salad')},0.179,0.34,0.82
{np.str_('Soup')},{np.str_('Burger')},0.217,0.3,1.44
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('Sandwich')},0.071,0.69,1.02
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Ketchup')},0.11,0.12,1.28
{np.str_('Salad')},{np.str_('Pizza')},0.265,0.32,1.49
{np.str_('Pizza')},{np.str_('Salad')},0.085,0.79,1.27
{np.str_('Sandwich')},{np.str_('Burger')},0.149,0.49,1.2
{np.str_('Ketchup')},{np.str_('Pasta')},0.073,0.3,1.38
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Coke')},0.28,0.47,0.93
{np.str_('Sandwich')},{np.str_('Pizza')},0.16,0.17,1.49
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Pizza')},0.094,0.48,1.48
"{np.str_('Coke'), np.str_('Burger')}",{np.str_('Pizza')},0.072,0.29,1.0
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Pasta')},0.259,0.43,1.49
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('IceCream')},0.049,0.19,1.39
{np.str_('Fries')},{np.str_('IceCream')},0.109,0.27,1.37
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Ketchup')},0.175,0.4,1.48
{np.str_('Sandwich')},{np.str_('Pizza')},0.024,0.58,1.04
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Burger')},0.232,0.49,0.9
{np.str_('Fries')},{np.str_('Coke')},0.196,0.71,1.21
{np.str_('Soup')},{np.str_('Pasta')},0.229,0.21,1.18
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Soup')},0.036,0.31,1.41
{np.str_('Salad')},{np.str_('Coke')},0.038,0.32,1.02
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Pizza')},0.057,0.66,1.33
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Pasta')},0.163,0.57,1.36
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Sandwich')},0.221,0.83,1.44
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('Coke')},0.236,0.24,1.11
{np.str_('Ketchup')},{np.str_('Coke')},0.091,0.25,1.15
{np.str_('Pizza')},{np.str_('Ketchup')},0.235,0.37,1.19
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Sandwich')},0.047,0.24,1.15
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Salad')},0.168,0.32,1.29
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Pizza')},0.121,0.77,1.41
{np.str_('Fries')},{np.str_('Pizza')},0.067,0.35,1.23
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Soup')},0.295,0.69,0.88
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Pasta')},0.205,0.24,1.31
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Ketchup')},0.278,0.11,1.31
{np.str_('Ketchup')},{np.str_('Fries')},0.025,0.6,0.84
{np.str_('Sandwich')},{np.str_('Fries')},0.22,0.51,1.15
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Soup')},0.068,0.9,0.8
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Soup')},0.214,0.42,1.44
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Pizza')},0.239,0.65,1.42
{np.str_('Sandwich')},{np.str_('IceCream')},0.116,0.4,0.91
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Pizza')},0.287,0.16,1.05
{np.str_('Burger')},{np.str_('Ketchup')},0.056,0.38,1.09
{np.str_('Burger')},{np.str_('Soup')},0.23,0.59,0.92
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Soup')},0.105,0.19,1.07
{np.str_('Soup')},{np.str_('Fries')},0.025,0.79,1.04
"{np.str_('Pizza'), np.str_('Salad')}",{np.str_('IceCream')},0.235,0.6,1.22
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Soup')},0.051,0.18,1.17
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Pasta')},0.262,0.81,1.05
{np.str_('Coke')},{np.str_('Sandwich')},0.174,0.5,0.81
"{np.str_('Pizza'), np.str_('Fries')}",{np.str_('Burger')},0.22,0.56,1.25
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Sandwich')},0.138,0.63,1.02
{np.str_('Salad')},{np.str_('Pasta')},0.132,0.18,0.89
{np.str_('Fries')},{np.str_('Ketchup')},0.199,0.76,1.09
"{np.str_('Coke'), np.str_('Pasta')}",{np.str_('Ketchup')},0.013,0.22,1.34
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Ketchup')},0.256,0.82,1.18
{np.str_('Ketchup')},{np.str_('Pasta')},0.281,0.83,0.95
{np.str_('Coke')},{np.str_('Soup')},0.197,0.81,1.31
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Sandwich')},0.051,0.45,1.19
{np.str_('Salad')},{np.str_('Fries')},0.263,0.15,1.42
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('Ketchup')},0.07,0.25,0.89
{np.str_('Burger')},{np.str_('Coke')},0.108,0.57,0.87
{np.str_('Ketchup')},{np.str_('IceCream')},0.152,0.16,1.23
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Sandwich')},0.016,0.68,0.82
{np.str_('Soup')},{np.str_('Fries')},0.024,0.18,0.82
{np.str_('IceCream')},{np.str_('Fries')},0.295,0.65,1.42
{np.str_('Burger')},{np.str_('Fries')},0.232,0.63,1.38
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Soup')},0.163,0.2,1.21
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('IceCream')},0.217,0.58,1.01
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('IceCream')},0.074,0.72,0.94
{np.str_('Fries')},{np.str_('Pasta')},0.111,0.84,0.94
{np.str_('Coke')},{np.str_('Soup')},0.055,0.28,0.95
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Soup')},0.254,0.54,1.43
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Pizza')},0.186,0.25,1.36
{np.str_('Salad')},{np.str_('Burger')},0.102,0.49,1.01
{np.str_('Coke')},{np.str_('Ketchup')},0.287,0.29,1.03
{np.str_('IceCream')},{np.str_('Salad')},0.122,0.44,1.19
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Coke')},0.283,0.69,0.86
"{np.str_('Coke'), np.str_('Pasta')}",{np.str_('Burger')},0.142,0.34,1.07
{np.str_('Fries')},{np.str_('Burger')},0.139,0.54,1.46
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Soup')},0.237,0.26,0.86
{np.str_('Sandwich')},{np.str_('IceCream')},0.22,0.19,1.08
"{np.str_('IceCream'), np.str_('Soup')}",{np.str_('Coke')},0.171,0.66,1.09
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Fries')},0.229,0.74,1.15
{np.str_('Pizza')},{np.str_('Fries')},0.137,0.43,1.1
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Soup')},0.138,0.38,1.32
{np.str_('Pizza')},{np.str_('Burger')},0.197,0.8,0.83
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Fries')},0.078,0.79,1.02
{np.str_('Soup')},{np.str_('Pizza')},0.114,0.59,1.07
{np.str_('Ketchup')},{np.str_('Burger')},0.242,0.31,0.97
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('IceCream')},0.13,0.17,1.11
{np.str_('Salad')},{np.str_('Sandwich')},0.108,0.17,1.47
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Ketchup')},0.011,0.29,1.46
{np.str_('Sandwich')},{np.str_('Burger')},0.266,0.45,1.32
{np.str_('Soup')},{np.str_('Sandwich')},0.289,0.24,0.92
